Date,venue,City,State,Country,Recording Surfaced
1/2/1992,Palace,Melbourne,,Australia ,Y
2/2/1992,The Palace,Melbourne,,Australia,N
5/2/1992,ANU Union Bar,Canberra,,Australia ,Y
6/2/1992,"Selina's, The Coogee Bay Hotel",Sydney,,Australia ,Y
7/2/1992,"Selina's, The Coogee Bay Hotel",Sydney,,Australia ,Y
9/2/1992,Logan Campbell Centre,Auckland,,New Zealand ,N
14/2/1992,Kokusai Koryu Center,Osaka,,Japan,Y
16/2/1992,Club Quattro,Nagoya,,Japan,Y
17/2/1992,Club Citta,Kawasaki,,Japan,N
19/2/1992,Nakano Sunplaza,Tokyo,,Japan,Y
21/2/1992,Pink's Garage,Honolulu,HI,United States,N
22/2/1992,Pink's Garage,Honolulu,HI,United States,Y
21/6/1992,Point Depot,Dublin,,Ireland,Y
22/6/1992,King's Hall,Belfast,,United Kingdom,Y
24/6/1992,Zénith,Paris,,France,Y
26/6/1992,Dyrskuepladsen,Roskilde,,Denmark,Y
27/6/1992,Kansanpuisto,Turku,,Finland,Y
28/6/1992,Kalvøya (Kalvøyafestivalen),Oslo,,Norway,Y
30/6/1992,Sjöhistoriska Museet,Stockholm,,Sweden,Y
2/7/1992,Plaza de Toros de Valencia,Valencia,,Spain ,Y
3/7/1992,Palacio de los Deportes de la Comunidad de Madrid,Madrid,,Spain ,Y
4/7/1992,Pabellón de la Casilla de Bilbao,Bilbao,,Spain ,N
30/8/1992,Richfield Avenue (Reading Festival),Reading,,United Kingdom,Y
8/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsal)",Los Angeles,CA,United States,N
8/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsals)",Los Angeles,CA,United States,Y
9/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsal)",Los Angeles,CA,United States,N
9/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards)",Los Angeles,CA,United States,Y
10/9/1992,Portland Meadows,Portland,OR,United States,Y
11/9/1992,Seattle Center Coliseum,Seattle,WA,United States,Y
26/9/1992,Castaic Lake Amphitheatre,Castaic,CA,United States,Y
3/10/1992,Carver Gymnasium,Bellingham,WA,United States,Y
4/10/1992,Crocodile Cafe,Seattle,WA,United States,Y
30/10/1992,Estadio José Amalfitani,Buenos Aires,,Argentina,Y
16/1/1993,Estádio Cícero Pompeu de Toledo (Hollywood Rock Festival),São Paulo,,Brazil,Y
